state,scrape_date,inmates_positive,staff_positive,inmates_current_positive,n_positive_c_os,contract_staff_positive,total_positive,inmates_negative,staff_negative,inmates_pending,test_pending,inmates_deaths,staff_deaths,inmates_covid_deaths,inmates_death_underlying_cond,total_deaths,inmates_tested,inmates_tests,inmates_presumed_positive,inmates_released_medical_isolation,inmates_hospital,inmates_medical_isolation,update_date,inmates_recovered,inmates_isolation,inmates_quarantine,staff_recovered
Alabama,2020-04-21,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2020-04-21,29,0,0,0,0,0,118,0,25,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,2020-04-21,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Federal,2020-04-21,515,323,0,0,0,0,0,0,0,0,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2020-04-21,123,98,0,0,0,0,171,0,82,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2020-04-21,140,77,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2020-04-21,149,135,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2020-04-21,233,0,0,0,0,0,0,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,2020-04-21,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2020-04-21,47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,2020-04-21,101,77,96,0,0,0,0,0,0,0,0,3,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,2020-04-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,2020-04-21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey,2020-04-21,88,407,0,0,0,0,0,0,0,0,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,2020-04-21,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,2020-04-21,3762,319,0,0,0,0,0,0,0,0,1,1,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2020-04-21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2020-04-21,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,2020-04-21,27,49,0,0,0,0,67,148,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,2020-04-21,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,2020-04-21,525,0,0,0,0,0,284,0,126,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,2020-04-21,141,51,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2020-04-21,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2020-04-21,0,NA,NA,NA,NA,NA,41,NA,5,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,2020-04-21,0,NA,NA,NA,NA,NA,26,NA,1,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,2020-04-21,219,813,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2020-04-21,299,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,2020-04-21,21,20,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,2020-04-21,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,2020-04-21,24,NA,NA,NA,NA,NA,85,NA,7,NA,NA,NA,NA,NA,NA,116,NA,37,23,2,NA,NA,NA,NA,NA,NA
