state,scrape_date,inmates_positive,staff_positive,inmates_current_positive,n_positive_c_os,contract_staff_positive,total_positive,inmates_negative,staff_negative,inmates_pending,test_pending,inmates_deaths,staff_deaths,inmates_covid_deaths,inmates_death_underlying_cond,total_deaths,inmates_tested,inmates_tests,inmates_presumed_positive,inmates_released_medical_isolation,inmates_hospital,inmates_medical_isolation,update_date,inmates_recovered,inmates_isolation,inmates_quarantine,staff_recovered,DAILY POPULATION
Alabama,2020-04-22T00:00:00Z,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2020-04-22T00:00:00Z,35,0,0,0,0,0,122,0,15,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,2020-04-22T00:00:00Z,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Federal,2020-04-22T00:00:00Z,535,342,0,0,0,0,0,0,0,0,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2020-04-22T00:00:00Z,136,102,0,0,0,0,179,0,72,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2020-04-22T00:00:00Z,142,77,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2020-04-22T00:00:00Z,148,139,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2020-04-22T00:00:00Z,238,0,0,0,0,0,0,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,2020-04-22T00:00:00Z,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2020-04-22T00:00:00Z,52,61,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,2020-04-22T00:00:00Z,120,78,113,0,0,0,0,0,0,0,0,3,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,2020-04-22T00:00:00Z,6,8,0,3,0,17,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,2020-04-22T00:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,2020-04-22T00:00:00Z,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey,2020-04-22T00:00:00Z,92,427,0,0,0,0,0,0,0,0,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,2020-04-22T00:00:00Z,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,2020-04-22T00:00:00Z,3792,331,0,0,0,0,0,0,0,0,2,1,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2020-04-22T00:00:00Z,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2020-04-22T00:00:00Z,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,2020-04-22T00:00:00Z,29,54,0,0,0,0,67,156,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,2020-04-22T00:00:00Z,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,2020-04-22T00:00:00Z,529,0,0,0,0,0,292,0,148,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,2020-04-22T00:00:00Z,196,57,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2020-04-22T00:00:00Z,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2020-04-22T00:00:00Z,0,NA,NA,NA,NA,NA,50,NA,7,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,2020-04-22T00:00:00Z,0,NA,NA,NA,NA,NA,26,NA,1,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,2020-04-22T00:00:00Z,239,844,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2020-04-22T00:00:00Z,337,NA,NA,NA,NA,NA,361,NA,NA,NA,NA,NA,NA,NA,NA,698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,2020-04-22T00:00:00Z,41,23,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,2020-04-22T00:00:00Z,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,2020-04-22T00:00:00Z,29,NA,NA,NA,NA,NA,96,NA,58,NA,NA,NA,NA,NA,NA,183,NA,37,24,2,NA,NA,NA,NA,NA,NA,NA
Vermont,2020-04-22T00:00:00Z,38,NA,NA,NA,NA,NA,181,NA,2,NA,NA,NA,NA,NA,NA,221,NA,NA,18,0,38,NA,NA,NA,NA,NA,NA
Missouri,2020-04-22T00:00:00Z,4,6,NA,NA,7,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2020-04-22T00:00:00Z,NA,25,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731,NA,NA,NA,NA,NA,2020-04-22T00:00:00Z,NA,NA,NA,NA,NA
Rhode Island,2020-04-22T00:00:00Z,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2020-04-22T00:00:00Z,NA,NA,NA,NA,NA
Michigan,2020-04-22T00:00:00Z,717,210,NA,NA,NA,NA,361,NA,11,NA,25,2,NA,NA,NA,1089,NA,NA,NA,NA,NA,2020-04-22T00:00:00Z,NA,NA,NA,NA,NA
