state,scrape_date,staff_positive,inmates_positive,inmates_current_positive,n_positive_c_os,contract_staff_positive,total_positive,inmates_negative,staff_negative,inmates_pending,test_pending,staff_deaths,inmates_probable_deaths,inmates_deaths,inmates_death_underlying_cond,total_deaths,inmates_covid_deaths,inmates_tested,inmates_tests,inmates_presumed_positive,inmates_released_medical_isolation,inmates_hospital,inmates_medical_isolation,update_date,inmates_recovered,inmates_isolation,inmates_quarantine,staff_recovered,DAILY POPULATION
Alabama,2020-04-23T00:00:00Z,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2020-04-23T00:00:00Z,0,34,0,0,0,0,128,0,12,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,2020-04-23T00:00:00Z,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Federal,2020-04-23T00:00:00Z,357,589,0,0,0,0,0,0,0,0,0,0,23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2020-04-23T00:00:00Z,110,144,0,0,0,0,188,0,77,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2020-04-23T00:00:00Z,78,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2020-04-23T00:00:00Z,142,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,2020-04-23T00:00:00Z,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2020-04-23T00:00:00Z,63,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,2020-04-23T00:00:00Z,82,122,114,0,0,0,0,0,0,0,3,0,0,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,2020-04-23T00:00:00Z,7,10,0,2,1,20,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,2020-04-23T00:00:00Z,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,2020-04-23T00:00:00Z,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,2020-04-23T00:00:00Z,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,2020-04-23T00:00:00Z,346,3816,0,0,0,0,0,0,0,0,1,2,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2020-04-23T00:00:00Z,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2020-04-23T00:00:00Z,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,2020-04-23T00:00:00Z,63,32,0,0,0,0,71,181,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,2020-04-23T00:00:00Z,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,2020-04-23T00:00:00Z,0,631,0,0,0,0,331,0,156,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,2020-04-23T00:00:00Z,57,214,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2020-04-23T00:00:00Z,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2020-04-23T00:00:00Z,NA,0,NA,NA,NA,NA,55,NA,4,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,2020-04-23T00:00:00Z,NA,0,NA,NA,NA,NA,31,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,2020-04-23T00:00:00Z,894,263,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2020-04-23T00:00:00Z,NA,421,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,2020-04-23T00:00:00Z,23,41,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,2020-04-23T00:00:00Z,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,2020-04-23T00:00:00Z,NA,29,NA,NA,NA,NA,96,NA,58,NA,NA,NA,NA,NA,NA,NA,183,NA,37,24,2,NA,NA,NA,NA,NA,NA,NA
Vermont,2020-04-23T00:00:00Z,NA,38,NA,NA,NA,NA,182,NA,2,NA,NA,NA,NA,NA,NA,NA,222,NA,NA,19,0,38,NA,NA,NA,NA,NA,NA
Missouri,2020-04-23T00:00:00Z,6,4,NA,NA,7,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2020-04-23T00:00:00Z,25,731,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-04-22T00:00:00Z,NA,NA,NA,NA,NA
Rhode Island,2020-04-23T00:00:00Z,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2020-04-22T00:00:00Z,NA,NA,NA,NA,NA
Michigan,2020-04-23T00:00:00Z,240,917,NA,NA,NA,NA,455,NA,11,NA,2,NA,28,NA,NA,NA,1383,NA,NA,NA,NA,NA,2020-04-22T00:00:00Z,NA,NA,NA,NA,NA
Maine,2020-04-23T00:00:00Z,NA,0,NA,NA,NA,NA,17,NA,0,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,2020-04-22T00:00:00Z,NA,1,NA,NA,NA
Hawaii,2020-04-23T00:00:00Z,NA,0,NA,NA,NA,NA,13,NA,1,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,2020-04-22T00:00:00Z,NA,1,9,NA,NA
Connecticut,2020-04-23T00:00:00Z,256,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-04-22T00:00:00Z,161,140,NA,39,41594
Wisconsin,2020-04-23T00:00:00Z,16,13,NA,NA,NA,NA,99,NA,6,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,2020-04-22T00:00:00Z,NA,NA,NA,9,NA
