state,scrape_date,staff_positive,inmates_positive,inmates_current_positive,contract_staff_positive,n_positive_c_os,total_positive,inmates_negative,staff_negative,inmates_pending,test_pending,staff_deaths,inmates_probable_deaths,inmates_deaths,inmates_death_underlying_conditions,total_deaths,inmates_death_underlying_cond,inmates_covid_deaths,inmates_tested,inmates_presumed_positive,inmates_released_medical_isolation,inmates_hospital,inmates_medical_isolation,inmates_recovered,inmates_isolation,inmates_quarantine,staff_recovered,DAILY POPULATION
Alabama,2020-04-24T00:00:00Z,0,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2020-04-24T00:00:00Z,0,42,0,0,0,0,135,0,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,2020-04-24T00:00:00Z,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,2020-04-24T00:00:00Z,27,43,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Federal,2020-04-24T00:00:00Z,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2020-04-24T00:00:00Z,121,179,0,0,0,0,200,0,48,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2020-04-24T00:00:00Z,144,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,2020-04-24T00:00:00Z,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2020-04-24T00:00:00Z,67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,2020-04-24T00:00:00Z,11,25,2,0,0,0,0,0,0,0,0,0,120,76,31,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,2020-04-24T00:00:00Z,7,41,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,2020-04-24T00:00:00Z,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,2020-04-24T00:00:00Z,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,2020-04-24T00:00:00Z,0,491,0,0,0,0,427,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,2020-04-24T00:00:00Z,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,2020-04-24T00:00:00Z,358,3837,0,0,0,0,0,0,0,0,1,2,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2020-04-24T00:00:00Z,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2020-04-24T00:00:00Z,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,2020-04-24T00:00:00Z,65,32,0,0,0,0,75,188,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,2020-04-24T00:00:00Z,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,2020-04-24T00:00:00Z,0,687,0,0,0,0,338,0,207,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
