state,scrape_date,staff_positive,inmates_positive,inmates_positive_symptomatic,inmates_positive_asymptomatic,inmates_current_positive,contract_staff_positive,inmates_positive_on_site,death_of_covid‑19_positive_offender,n_positive_c_os,total_positive,inmates_negative,staff_negative,inmates_pending,test_pending,staff_deaths,inmates_probable_deaths,inmates_deaths,inmates_death_underlying_conditions,total_deaths,inmates_death_underlying_cond,inmates_covid_deaths,inmates_tested,inmates_presumed_positive,inmates_released_medical_isolation,inmates_hospital,inmates_medical_isolation,update_date,inmates_recovered,inmates_isolation,inmates_quarantine,staff_recovered,DAILY POPULATION
Alabama,2020-04-25,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2020-04-25,0,44,0,0,0,0,0,0,0,0,134,0,9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,2020-04-25,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,2020-04-25,27,43,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Federal,2020-04-25,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2020-04-25,126,189,0,0,0,0,0,0,0,0,211,0,34,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2020-04-25,147,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,2020-04-25,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2020-04-25,67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,2020-04-25,91,245,132,113,237,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
