state,scrape_date,staff_positive,inmates_positive,inmates_positive_symptomatic,inmates_positive_asymptomatic,inmates_positive_current,inmates_positive_on_site,n_positive_c_os,contract_staff_positive,total_positive,inmates_current_positive,death_of_covid‑19_positive_offender,inmates_negative,staff_negative,inmates_pending,test_pending,staff_deaths,inmates_deaths_probable,inmates_deaths_confirmed,inmates_deaths,inmates_covid_deaths_underlying_conditions,inmates_covid_deaths,inmates_probable_deaths,inmates_death_underlying_conditions,total_deaths,inmates_death_underlying_cond,inmates_tested,inmates_presumed_positive,inmates_recovered,inmates_hospital,inmates_isolation,inmates_quarantine,staff_recovered,DAILY POPULATION
Alabama,2020-04-27,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2020-04-27,0,47,0,0,0,0,0,0,0,0,0,143,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
California,2020-04-27,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,2020-04-27,29,47,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Federal,2020-04-27,330,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2020-04-27,126,197,0,0,0,0,0,0,0,0,0,222,0,20,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2020-04-27,147,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Iowa,2020-04-27,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2020-04-27,72,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,2020-04-27,100,265,149,116,257,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
