state,scrape_date,inmates_positive,staff_positive,inmates_negative,staff_negative,test_pending,inmates_pending,inmates_deaths,staff_deaths,inmates_death_underlying_cond,total_deaths,inmates_tested,inmate_deaths,inmates_covid_deaths,inmates_tests,contract_staff_positive,inmates_presumed_positive,inmates_released_medical_isolation,inmates_hospital,inmates_current_positive,n_positive_c_os,total_positive,inmates_medical_isolation,update_date,inmates_recovered,inmates_isolation,inmates_quarantine,staff_recovered,DAILY POPULATION,inmates_probable_deaths,inmates_death_underlying_conditions,inmates_positive_symptomatic,inmates_positive_asymptomatic,inmates_positive_on_site,death_of_covid‑19_positive_offender
Alabama,2020-04-16T00:00:00Z,0,0,0,0,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2020-04-16T00:00:00Z,17,0,71,0,0,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2020-04-16T00:00:00Z,44,63,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2020-04-16T00:00:00Z,65,67,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,2020-04-16T00:00:00Z,147,130,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2020-04-16T00:00:00Z,116,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2020-04-16T00:00:00Z,30,36,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,2020-04-16T00:00:00Z,78,60,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,2020-04-16T00:00:00Z,19,27,55,106,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,2020-04-16T00:00:00Z,0,29,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,2020-04-16T00:00:00Z,327,0,204,0,0,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,2020-04-16T00:00:00Z,41,40,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2020-04-16T00:00:00Z,11,14,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2020-04-16T00:00:00Z,0,NA,32,NA,NA,7,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey,2020-04-16T00:00:00Z,55,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,2020-04-16T00:00:00Z,165,693,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,2020-04-16T00:00:00Z,327,NA,204,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,2020-04-18T00:00:00Z,3,0,0,0,5,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2020-04-18T00:00:00Z,22,0,75,0,0,36,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
