year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,new_court,offense_type_drug,offense_type_other,offense_type_person,offense_type_property,offense_type_sex,offense_type_violent,sex_female,sex_male,technical_violation_other,new_court_rate,offense_type_drug_rate,offense_type_other_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_violent_rate,sex_female_rate,sex_male_rate,technical_violation_other_rate
1989,1,1,Adams,8,Central,Mostly Urban,32.6,NA,76,16,3,12,34,11,23,9,67,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,2,3,Alexander,1,Southern,Mostly Rural,61.9,NA,25,5,1,10,8,1,11,2,23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,3,5,Bond,3,Southern,Mostly Rural,60.7,NA,15,3,NA,1,9,2,3,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,4,7,Boone,17,Northern - Other,Mostly Urban,19.4,NA,15,4,1,2,6,2,4,2,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,5,9,Brown,8,Central,Mostly Urban,41.1,NA,3,1,NA,1,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,6,11,Bureau,13,Central,Mostly Rural,57.4,NA,33,14,1,6,4,8,14,5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,7,13,Calhoun,8,Southern,Completely Rural,100,NA,4,1,NA,2,1,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,8,15,Carroll,15,Northern - Other,Mostly Rural,81.9,NA,14,2,2,2,7,1,3,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,9,17,Cass,8,Central,Mostly Rural,52.1,NA,8,NA,1,4,2,1,5,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,10,19,Champaign,6,Central,Mostly Urban,12.7,NA,212,15,2,62,119,14,72,29,183,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,11,21,Christian,4,Central,Mostly Urban,43.5,NA,26,4,2,3,10,7,9,NA,26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,12,23,Clark,5,Southern,Mostly Rural,59.5,NA,8,1,NA,3,4,NA,3,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
